,closure,h,iter,max_order,parameter_set,rtol,runtime,solver
1867,scalar,,,2,safe,,0.07200002670288086,lsodar
1868,scalar,,,2,safe,,0.0779261589050293,lsodar
1869,scalar,,,2,safe,,0.07540082931518555,lsodar
1870,scalar,,,2,safe,,0.07547497749328613,lsodar
1871,scalar,,,2,safe,,0.0763700008392334,lsodar
1872,scalar,,,2,safe,,0.05905604362487793,lsodar
1873,scalar,,,2,unsafe,,0.14176392555236816,lsodar
1874,scalar,,,2,unsafe,,0.141387939453125,lsodar
1875,scalar,,,2,unsafe,,0.14216899871826172,lsodar
1876,scalar,,,2,unsafe,,0.14287400245666504,lsodar
1877,scalar,,,2,unsafe,,0.1432199478149414,lsodar
1878,scalar,,,2,unsafe,,0.14328885078430176,lsodar
1879,scalar,,,2,unsafe,,0.14361882209777832,lsodar
1880,scalar,,,2,unsafe,,0.14282488822937012,lsodar
1881,scalar,,,2,unsafe,,0.1425790786743164,lsodar
1882,scalar,,,2,unsafe,,0.18114399909973145,lsodar
1883,scalar,,,2,safe,,0.01841282844543457,ode15s
1884,scalar,,,2,safe,,0.018412113189697266,ode15s
1885,scalar,,,2,safe,,0.01844191551208496,ode15s
1886,scalar,,,2,safe,,0.018351078033447266,ode15s
1887,scalar,,,2,safe,,0.018312931060791016,ode15s
1888,scalar,,,2,safe,,0.018343210220336914,ode15s
1889,scalar,,,2,safe,,0.018613815307617188,ode15s
1890,scalar,,,2,safe,,0.018487930297851562,ode15s
1891,scalar,,,2,safe,,0.018571138381958008,ode15s
1892,scalar,,,2,safe,,0.018925905227661133,ode15s
1893,scalar,,,2,unsafe,,0.0487370491027832,ode15s
1894,scalar,,,2,unsafe,,0.0529019832611084,ode15s
1895,scalar,,,2,unsafe,,0.053192853927612305,ode15s
1896,scalar,,,2,unsafe,,0.05334305763244629,ode15s
1897,scalar,,,2,unsafe,,0.05310821533203125,ode15s
1898,scalar,,,2,unsafe,,0.05318188667297363,ode15s
1899,scalar,,,2,unsafe,,0.053231000900268555,ode15s
1900,scalar,,,2,unsafe,,0.05331301689147949,ode15s
1901,scalar,,,2,unsafe,,0.0534210205078125,ode15s
1902,scalar,,,2,unsafe,,0.042530059814453125,ode15s
1903,scalar,,,2,safe,,0.06583189964294434,radau5
1904,scalar,,,2,safe,,0.06605887413024902,radau5
1905,scalar,,,2,safe,,0.06551694869995117,radau5
1906,scalar,,,2,safe,,0.06298494338989258,radau5
1907,scalar,,,2,safe,,0.05243992805480957,radau5
1908,scalar,,,2,safe,,0.05213594436645508,radau5
1909,scalar,,,2,safe,,0.05175590515136719,radau5
1910,scalar,,,2,safe,,0.052477121353149414,radau5
1911,scalar,,,2,safe,,0.05316615104675293,radau5
1912,scalar,,,2,safe,,0.06489396095275879,radau5
1913,scalar,,,2,unsafe,,0.2914559841156006,radau5
1914,scalar,,,2,unsafe,,0.3255279064178467,radau5
1915,scalar,,,2,unsafe,,0.2841470241546631,radau5
1916,scalar,,,2,unsafe,,0.3054661750793457,radau5
1917,scalar,,,2,unsafe,,0.3190572261810303,radau5
1918,scalar,,,2,unsafe,,0.2790811061859131,radau5
1919,scalar,,,2,unsafe,,0.3187601566314697,radau5
1920,scalar,,,2,unsafe,,0.2577998638153076,radau5
1921,scalar,,,2,unsafe,,0.2865469455718994,radau5
1922,scalar,,,2,unsafe,,0.29506397247314453,radau5
1923,scalar,,,2,safe,,0.22545981407165527,rodas
1924,scalar,,,2,safe,,0.2014760971069336,rodas
1925,scalar,,,2,safe,,0.19036388397216797,rodas
1926,scalar,,,2,safe,,0.19393587112426758,rodas
1927,scalar,,,2,safe,,0.23878002166748047,rodas
1928,scalar,,,2,safe,,0.23508191108703613,rodas
1929,scalar,,,2,safe,,0.1904010772705078,rodas
1930,scalar,,,2,safe,,0.22012615203857422,rodas
1931,scalar,,,2,safe,,0.2361130714416504,rodas
1932,scalar,,,2,safe,,0.22145795822143555,rodas
1933,scalar,,,2,unsafe,,0.7475430965423584,rodas
1934,scalar,,,2,unsafe,,0.6521170139312744,rodas
1935,scalar,,,2,unsafe,,0.7900040149688721,rodas
1936,scalar,,,2,unsafe,,0.7464878559112549,rodas
1937,scalar,,,2,unsafe,,0.8205440044403076,rodas
1938,scalar,,,2,unsafe,,0.8293609619140625,rodas
1939,scalar,,,2,unsafe,,0.7548980712890625,rodas
1940,scalar,,,2,unsafe,,0.6696121692657471,rodas
1941,scalar,,,2,unsafe,,0.7499117851257324,rodas
1942,scalar,,,2,unsafe,,0.8140530586242676,rodas
1943,scalar,,,2,safe,,0.22911286354064941,rungekutta34
1944,scalar,,,2,safe,,0.26282405853271484,rungekutta34
1945,scalar,,,2,safe,,0.21857404708862305,rungekutta34
1946,scalar,,,2,safe,,0.2566378116607666,rungekutta34
1947,scalar,,,2,safe,,0.262315034866333,rungekutta34
1948,scalar,,,2,safe,,0.2252790927886963,rungekutta34
1949,scalar,,,2,safe,,0.25848913192749023,rungekutta34
1950,scalar,,,2,safe,,0.25928616523742676,rungekutta34
1951,scalar,,,2,safe,,0.23967790603637695,rungekutta34
1952,scalar,,,2,safe,,0.20454788208007812,rungekutta34
1953,scalar,,,2,unsafe,,0.6710989475250244,rungekutta34
1954,scalar,,,2,unsafe,,0.6948721408843994,rungekutta34
1955,scalar,,,2,unsafe,,0.6862242221832275,rungekutta34
1956,scalar,,,2,unsafe,,0.7543039321899414,rungekutta34
1957,scalar,,,2,unsafe,,0.7450649738311768,rungekutta34
1958,scalar,,,2,unsafe,,0.7111530303955078,rungekutta34
1959,scalar,,,2,unsafe,,0.6821610927581787,rungekutta34
1960,scalar,,,2,unsafe,,0.6527118682861328,rungekutta34
1961,scalar,,,2,unsafe,,0.7168347835540771,rungekutta34
1962,scalar,,,2,unsafe,,0.7245810031890869,rungekutta34
1963,scalar,,,2,safe,,1.5028748512268066,rungekutta4
1964,scalar,,,2,safe,,1.6018481254577637,rungekutta4
1965,scalar,,,2,safe,,1.4687910079956055,rungekutta4
1966,scalar,,,2,safe,,1.5202322006225586,rungekutta4
1967,scalar,,,2,safe,,1.5017650127410889,rungekutta4
1968,scalar,,,2,safe,,1.7348659038543701,rungekutta4
1969,scalar,,,2,safe,,1.6455597877502441,rungekutta4
1970,scalar,,,2,safe,,1.7421190738677979,rungekutta4
1971,scalar,,,2,safe,,1.410459041595459,rungekutta4
1972,scalar,,,2,safe,,1.4709830284118652,rungekutta4
1973,scalar,,,2,unsafe,,1.8868579864501953,rungekutta4
1974,scalar,,,2,unsafe,,1.5008981227874756,rungekutta4
1975,scalar,,,2,unsafe,,1.5898950099945068,rungekutta4
1976,scalar,,,2,unsafe,,1.505429983139038,rungekutta4
1977,scalar,,,2,unsafe,,1.4978339672088623,rungekutta4
1978,scalar,,,2,unsafe,,1.5501739978790283,rungekutta4
1979,scalar,,,2,unsafe,,1.6213631629943848,rungekutta4
1980,scalar,,,2,unsafe,,1.5939159393310547,rungekutta4
1981,scalar,,,2,unsafe,,1.6442952156066895,rungekutta4
1982,scalar,,,2,unsafe,,1.4689319133758545,rungekutta4
1983,scalar,,Newton,2,safe,,0.01868605613708496,ode15s
1984,scalar,,Newton,2,safe,,0.01846909523010254,ode15s
1985,scalar,,Newton,2,safe,,0.018651962280273438,ode15s
1986,scalar,,Newton,2,safe,,0.01946711540222168,ode15s
1987,scalar,,Newton,2,safe,,0.01901698112487793,ode15s
1988,scalar,,Newton,2,safe,,0.018524885177612305,ode15s
1989,scalar,,Newton,2,safe,,0.018607139587402344,ode15s
1990,scalar,,Newton,2,safe,,0.01847386360168457,ode15s
1991,scalar,,Newton,2,safe,,0.0185699462890625,ode15s
1992,scalar,,Newton,2,safe,,0.01908111572265625,ode15s
1993,scalar,,Newton,2,unsafe,,0.04271197319030762,ode15s
1994,scalar,,Newton,2,unsafe,,0.042533159255981445,ode15s
1995,scalar,,Newton,2,unsafe,,0.04240584373474121,ode15s
1996,scalar,,Newton,2,unsafe,,0.042552947998046875,ode15s
1997,scalar,,Newton,2,unsafe,,0.04256105422973633,ode15s
1998,scalar,,Newton,2,unsafe,,0.04262113571166992,ode15s
1999,scalar,,Newton,2,unsafe,,0.042417049407958984,ode15s
2000,scalar,,Newton,2,unsafe,,0.0424349308013916,ode15s
2001,scalar,,Newton,2,unsafe,,0.042301177978515625,ode15s
2002,scalar,,Newton,2,unsafe,,0.04277396202087402,ode15s
2003,scalar,,,2,safe,1e-06,0.032015085220336914,ode15s
2004,scalar,,,2,safe,1e-06,0.03189802169799805,ode15s
2005,scalar,,,2,safe,1e-06,0.03190302848815918,ode15s
2006,scalar,,,2,safe,1e-06,0.03220510482788086,ode15s
2007,scalar,,,2,safe,1e-06,0.03235602378845215,ode15s
2008,scalar,,,2,safe,1e-06,0.0322270393371582,ode15s
2009,scalar,,,2,safe,1e-06,0.03198981285095215,ode15s
2010,scalar,,,2,safe,1e-06,0.03203105926513672,ode15s
2011,scalar,,,2,safe,1e-06,0.0319368839263916,ode15s
2012,scalar,,,2,safe,1e-06,0.03228592872619629,ode15s
2013,scalar,,,2,unsafe,1e-06,0.09915685653686523,ode15s
2014,scalar,,,2,unsafe,1e-06,0.10991191864013672,ode15s
2015,scalar,,,2,unsafe,1e-06,0.10181498527526855,ode15s
2016,scalar,,,2,unsafe,1e-06,0.09961509704589844,ode15s
2017,scalar,,,2,unsafe,1e-06,0.10223507881164551,ode15s
2018,scalar,,,2,unsafe,1e-06,0.10310888290405273,ode15s
2019,scalar,,,2,unsafe,1e-06,0.10184788703918457,ode15s
2020,scalar,,,2,unsafe,1e-06,0.1006171703338623,ode15s
2021,scalar,,,2,unsafe,1e-06,0.10120916366577148,ode15s
2022,scalar,,,2,unsafe,1e-06,0.08104586601257324,ode15s
2023,scalar,0.001,,2,safe,,3.981951951980591,euler
2024,scalar,0.001,,2,safe,,4.157428979873657,euler
2025,scalar,0.001,,2,safe,,4.134235143661499,euler
2026,scalar,0.001,,2,safe,,4.277556896209717,euler
2027,scalar,0.001,,2,safe,,4.1072869300842285,euler
2028,scalar,0.001,,2,safe,,4.160526990890503,euler
2029,scalar,0.001,,2,safe,,3.6211230754852295,euler
2030,scalar,0.001,,2,safe,,3.6310341358184814,euler
2031,scalar,0.001,,2,safe,,3.909972906112671,euler
2032,scalar,0.001,,2,safe,,3.7068750858306885,euler
2033,scalar,0.001,,2,unsafe,,3.556975841522217,euler
2034,scalar,0.001,,2,unsafe,,3.206010103225708,euler
2035,scalar,0.001,,2,unsafe,,3.395944118499756,euler
2036,scalar,0.001,,2,unsafe,,3.556781768798828,euler
2037,scalar,0.001,,2,unsafe,,3.6314430236816406,euler
2038,scalar,0.001,,2,unsafe,,3.7812278270721436,euler
2039,scalar,0.001,,2,unsafe,,3.7514278888702393,euler
2040,scalar,0.001,,2,unsafe,,3.454684019088745,euler
2041,scalar,0.001,,2,unsafe,,3.4752650260925293,euler
2042,scalar,0.001,,2,unsafe,,3.480232000350952,euler
2043,normal,,,2,safe,,0.04174399375915527,cvode
2044,normal,,,2,safe,,0.04204893112182617,cvode
2045,normal,,,2,safe,,0.04272723197937012,cvode
2046,normal,,,2,safe,,0.04113411903381348,cvode
2047,normal,,,2,safe,,0.04265403747558594,cvode
2048,normal,,,2,safe,,0.04213118553161621,cvode
2049,normal,,,2,safe,,0.04243803024291992,cvode
2050,normal,,,2,safe,,0.05112600326538086,cvode
2051,normal,,,2,safe,,0.03975796699523926,cvode
2052,normal,,,2,safe,,0.07215189933776855,cvode
2053,normal,,,2,unsafe,,0.10839700698852539,cvode
2054,normal,,,2,unsafe,,0.09892702102661133,cvode
2055,normal,,,2,unsafe,,0.10337209701538086,cvode
2056,normal,,,2,unsafe,,0.09511685371398926,cvode
2057,normal,,,2,unsafe,,0.09459495544433594,cvode
2058,normal,,,2,unsafe,,0.08284807205200195,cvode
2059,normal,,,2,unsafe,,0.08292603492736816,cvode
2060,normal,,,2,unsafe,,0.08550500869750977,cvode
2061,normal,,,2,unsafe,,0.0948188304901123,cvode
2062,normal,,,2,unsafe,,0.10113883018493652,cvode
2063,normal,,,2,safe,,0.07513308525085449,dopri5
2064,normal,,,2,safe,,0.0753018856048584,dopri5
2065,normal,,,2,safe,,0.07513308525085449,dopri5
2066,normal,,,2,safe,,0.07480192184448242,dopri5
2067,normal,,,2,safe,,0.06830191612243652,dopri5
2068,normal,,,2,safe,,0.06609702110290527,dopri5
2069,normal,,,2,safe,,0.06003379821777344,dopri5
2070,normal,,,2,safe,,0.07557296752929688,dopri5
2071,normal,,,2,safe,,0.0739290714263916,dopri5
2072,normal,,,2,safe,,0.07526087760925293,dopri5
2073,normal,,,2,unsafe,,0.17357492446899414,dopri5
2074,normal,,,2,unsafe,,0.14738202095031738,dopri5
2075,normal,,,2,unsafe,,0.16542291641235352,dopri5
2076,normal,,,2,unsafe,,0.16458392143249512,dopri5
2077,normal,,,2,unsafe,,0.14488983154296875,dopri5
2078,normal,,,2,unsafe,,0.1772291660308838,dopri5
2079,normal,,,2,unsafe,,0.1802668571472168,dopri5
2080,normal,,,2,unsafe,,0.17163991928100586,dopri5
2081,normal,,,2,unsafe,,0.16960692405700684,dopri5
2082,normal,,,2,unsafe,,0.14214396476745605,dopri5
2083,normal,,,2,safe,,0.413862943649292,euler
2084,normal,,,2,safe,,0.37790799140930176,euler
2085,normal,,,2,safe,,0.3473188877105713,euler
2086,normal,,,2,safe,,0.34287309646606445,euler
2087,normal,,,2,safe,,0.38967299461364746,euler
2088,normal,,,2,safe,,0.358043909072876,euler
2089,normal,,,2,safe,,0.42999815940856934,euler
2090,normal,,,2,safe,,0.3599250316619873,euler
2091,normal,,,2,safe,,0.36548519134521484,euler
2092,normal,,,2,safe,,0.3674139976501465,euler
2093,normal,,,2,unsafe,,0.3968369960784912,euler
2094,normal,,,2,unsafe,,0.4112739562988281,euler
2095,normal,,,2,unsafe,,0.3970918655395508,euler
2096,normal,,,2,unsafe,,0.3621480464935303,euler
2097,normal,,,2,unsafe,,0.36250996589660645,euler
2098,normal,,,2,unsafe,,0.3772270679473877,euler
2099,normal,,,2,unsafe,,0.3293278217315674,euler
2100,normal,,,2,unsafe,,0.32114315032958984,euler
2101,normal,,,2,unsafe,,0.3649139404296875,euler
2102,normal,,,2,unsafe,,0.3842041492462158,euler
2103,normal,,,2,safe,,0.07200908660888672,lsodar
2104,normal,,,2,safe,,0.07416296005249023,lsodar
2105,normal,,,2,safe,,0.07053208351135254,lsodar
2106,normal,,,2,safe,,0.07731103897094727,lsodar
2107,normal,,,2,safe,,0.08059406280517578,lsodar
2108,normal,,,2,safe,,0.0800638198852539,lsodar
2109,normal,,,2,safe,,0.07560014724731445,lsodar
2110,normal,,,2,safe,,0.07355904579162598,lsodar
2111,normal,,,2,safe,,0.07635498046875,lsodar
2112,normal,,,2,safe,,0.07336592674255371,lsodar
2113,normal,,,2,unsafe,,0.1566309928894043,lsodar
2114,normal,,,2,unsafe,,0.16537094116210938,lsodar
2115,normal,,,2,unsafe,,0.18711185455322266,lsodar
2116,normal,,,2,unsafe,,0.16836118698120117,lsodar
2117,normal,,,2,unsafe,,0.17751193046569824,lsodar
2118,normal,,,2,unsafe,,0.1868610382080078,lsodar
2119,normal,,,2,unsafe,,0.1817951202392578,lsodar
2120,normal,,,2,unsafe,,0.18032193183898926,lsodar
2121,normal,,,2,unsafe,,0.1803269386291504,lsodar
2122,normal,,,2,unsafe,,0.18157100677490234,lsodar
2123,normal,,,2,safe,,0.01841282844543457,ode15s
2124,normal,,,2,safe,,0.018412113189697266,ode15s
2125,normal,,,2,safe,,0.01844191551208496,ode15s
2126,normal,,,2,safe,,0.018351078033447266,ode15s
2127,normal,,,2,safe,,0.018312931060791016,ode15s
2128,normal,,,2,safe,,0.018343210220336914,ode15s
2129,normal,,,2,safe,,0.018613815307617188,ode15s
2130,normal,,,2,safe,,0.018487930297851562,ode15s
2131,normal,,,2,safe,,0.018571138381958008,ode15s
2132,normal,,,2,safe,,0.018925905227661133,ode15s
2133,normal,,,2,unsafe,,0.0487370491027832,ode15s
2134,normal,,,2,unsafe,,0.0529019832611084,ode15s
2135,normal,,,2,unsafe,,0.053192853927612305,ode15s
2136,normal,,,2,unsafe,,0.05334305763244629,ode15s
2137,normal,,,2,unsafe,,0.05310821533203125,ode15s
2138,normal,,,2,unsafe,,0.05318188667297363,ode15s
2139,normal,,,2,unsafe,,0.053231000900268555,ode15s
2140,normal,,,2,unsafe,,0.05331301689147949,ode15s
2141,normal,,,2,unsafe,,0.0534210205078125,ode15s
2142,normal,,,2,unsafe,,0.042530059814453125,ode15s
2143,normal,,,2,safe,,0.05532097816467285,radau5
2144,normal,,,2,safe,,0.05742216110229492,radau5
2145,normal,,,2,safe,,0.052865028381347656,radau5
2146,normal,,,2,safe,,0.0520930290222168,radau5
2147,normal,,,2,safe,,0.05374002456665039,radau5
2148,normal,,,2,safe,,0.052696943283081055,radau5
2149,normal,,,2,safe,,0.05571794509887695,radau5
2150,normal,,,2,safe,,0.0578920841217041,radau5
2151,normal,,,2,safe,,0.051943063735961914,radau5
2152,normal,,,2,safe,,0.05278897285461426,radau5
2153,normal,,,2,unsafe,,0.2668569087982178,radau5
2154,normal,,,2,unsafe,,0.25957798957824707,radau5
2155,normal,,,2,unsafe,,0.26993799209594727,radau5
2156,normal,,,2,unsafe,,0.3164069652557373,radau5
2157,normal,,,2,unsafe,,0.3328821659088135,radau5
2158,normal,,,2,unsafe,,0.32796287536621094,radau5
2159,normal,,,2,unsafe,,0.2657430171966553,radau5
2160,normal,,,2,unsafe,,0.2625551223754883,radau5
2161,normal,,,2,unsafe,,0.26383018493652344,radau5
2162,normal,,,2,unsafe,,0.3022348880767822,radau5
2163,normal,,,2,safe,,0.20719289779663086,rodas
2164,normal,,,2,safe,,0.2457599639892578,rodas
2165,normal,,,2,safe,,0.2302839756011963,rodas
2166,normal,,,2,safe,,0.19107890129089355,rodas
2167,normal,,,2,safe,,0.19915008544921875,rodas
2168,normal,,,2,safe,,0.22650408744812012,rodas
2169,normal,,,2,safe,,0.22987699508666992,rodas
2170,normal,,,2,safe,,0.19911479949951172,rodas
2171,normal,,,2,safe,,0.21625399589538574,rodas
2172,normal,,,2,safe,,0.18866181373596191,rodas
2173,normal,,,2,unsafe,,0.7170009613037109,rodas
2174,normal,,,2,unsafe,,0.7467210292816162,rodas
2175,normal,,,2,unsafe,,0.7030987739562988,rodas
2176,normal,,,2,unsafe,,0.7614889144897461,rodas
2177,normal,,,2,unsafe,,0.7436192035675049,rodas
2178,normal,,,2,unsafe,,0.7140610218048096,rodas
2179,normal,,,2,unsafe,,0.7686059474945068,rodas
2180,normal,,,2,unsafe,,0.7899370193481445,rodas
2181,normal,,,2,unsafe,,0.7071149349212646,rodas
2182,normal,,,2,unsafe,,0.794457197189331,rodas
2183,normal,,,2,safe,,0.23726487159729004,rungekutta34
2184,normal,,,2,safe,,0.2200021743774414,rungekutta34
2185,normal,,,2,safe,,0.261613130569458,rungekutta34
2186,normal,,,2,safe,,0.2512819766998291,rungekutta34
2187,normal,,,2,safe,,0.21371793746948242,rungekutta34
2188,normal,,,2,safe,,0.21994709968566895,rungekutta34
2189,normal,,,2,safe,,0.27196288108825684,rungekutta34
2190,normal,,,2,safe,,0.23676490783691406,rungekutta34
2191,normal,,,2,safe,,0.2450881004333496,rungekutta34
2192,normal,,,2,safe,,0.26110005378723145,rungekutta34
2193,normal,,,2,unsafe,,0.6924498081207275,rungekutta34
2194,normal,,,2,unsafe,,0.686053991317749,rungekutta34
2195,normal,,,2,unsafe,,0.6506531238555908,rungekutta34
2196,normal,,,2,unsafe,,0.766542911529541,rungekutta34
2197,normal,,,2,unsafe,,0.6926829814910889,rungekutta34
2198,normal,,,2,unsafe,,0.6280179023742676,rungekutta34
2199,normal,,,2,unsafe,,0.6713061332702637,rungekutta34
2200,normal,,,2,unsafe,,0.704632043838501,rungekutta34
2201,normal,,,2,unsafe,,0.6316590309143066,rungekutta34
2202,normal,,,2,unsafe,,0.6570549011230469,rungekutta34
2203,normal,,,2,safe,,1.5368540287017822,rungekutta4
2204,normal,,,2,safe,,1.5343680381774902,rungekutta4
2205,normal,,,2,safe,,1.5495548248291016,rungekutta4
2206,normal,,,2,safe,,1.641449213027954,rungekutta4
2207,normal,,,2,safe,,1.666468858718872,rungekutta4
2208,normal,,,2,safe,,1.469959020614624,rungekutta4
2209,normal,,,2,safe,,1.4737370014190674,rungekutta4
2210,normal,,,2,safe,,1.6234889030456543,rungekutta4
2211,normal,,,2,safe,,1.7630119323730469,rungekutta4
2212,normal,,,2,safe,,1.626235008239746,rungekutta4
2213,normal,,,2,unsafe,,1.411167860031128,rungekutta4
2214,normal,,,2,unsafe,,1.5024499893188477,rungekutta4
2215,normal,,,2,unsafe,,1.5020620822906494,rungekutta4
2216,normal,,,2,unsafe,,1.4441511631011963,rungekutta4
2217,normal,,,2,unsafe,,1.4227490425109863,rungekutta4
2218,normal,,,2,unsafe,,1.5948231220245361,rungekutta4
