>	Input file: ../Inoutput/ODEout.tmp
>	Parameters: [90.0, 0.002, 1.2, 1.1, 0.8, 0.96, 0.01]
>	Starting values: [80.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]
#	41	3	3
0, 3, 0	0.0	54.8240467946	187.387179178	394.945051824	645.173110553	904.272146295	1141.64128582	1318.24841738	1390.58929341	1339.62122438	1194.33175526	1016.437259	857.719256449	735.985432644	640.034064109	551.810745608	474.470233788	434.01168813	457.227716005	552.979133474	709.4397026	901.43169627	1096.35089108	1258.57891714	1357.1938264	1378.43035651	1332.0459426	1242.31689797	1132.25481623	1015.94567699	900.391903383	792.258470162	704.845132565	656.934099594	663.680387455	729.081453611	844.166285517	989.215675402	1137.90005826	1263.11646664	1344.13116732
1, 0, 1	0.0	-5.59381093653	-6.01373188616	4.83142465175	21.1739562401	34.3051898654	38.7010263034	34.9542118715	28.7051860602	26.6784148891	32.3988879223	44.137987485	56.1488971418	62.265725446	59.5304556748	49.7465298949	38.2170297585	30.6823761487	30.2597915223	36.1015909812	44.3693374321	50.7517016884	52.9062004222	51.5803412395	49.7348796376	50.3804842011	54.6420309538	61.0901027356	66.6539224015	68.5142468372	65.740746701	59.7553546466	53.4677067784	49.6591327818	49.5869839596	52.5489591341	56.5535678329	59.6125884426	60.8470250183	60.800454067	60.8665015286
1, 0, 2	0.0	1.37577161159	5.11458153935	11.3275267335	10.9138804871	-3.48736173551	-28.4581713141	-56.8003036596	-88.8406593996	-131.886989366	-188.644046166	-249.915575588	-299.783307304	-327.853916916	-338.354736545	-342.934480561	-347.838511081	-351.139534335	-348.670468477	-340.673594318	-331.903772124	-326.973217806	-327.630999655	-334.131860439	-348.269972997	-372.608889489	-406.318924826	-443.431060574	-475.822392756	-498.456360409	-511.906026234	-519.373562683	-522.582740422	-521.197949192	-514.843603943	-504.804822506	-493.791390545	-484.572148185	-479.345583983	-480.015343005	-488.151910561
1, 1, 0	0.0	22.0593723794	75.299753943	143.661956968	211.305668627	267.236954807	309.659062883	344.998381113	382.251685516	426.376615582	474.764097865	518.758765488	549.121183033	561.883088807	560.849883932	555.762517078	557.376667829	572.345843573	600.585450753	636.385181849	672.254976881	703.054272599	728.086798434	750.392217117	773.65151975	799.101577156	824.414773703	844.967491764	856.71054717	858.803882399	854.365801154	849.078496854	848.542121578	855.821742932	870.477756188	889.428965608	908.966609026	926.681878939	942.243973437	956.777665735	971.416833834
1, 1, 1	0.0	1.90552629985	3.36539650464	-0.73521788089	-11.4797291478	-18.2580333757	-9.67177051796	6.66451726622	2.84994030064	-45.4480997721	-134.431639762	-233.908978878	-311.354110086	-352.973195873	-369.021493472	-378.683414113	-391.904524365	-407.375882136	-420.085701753	-426.690981848	-424.77234037	-412.113220501	-390.350960144	-368.957817775	-362.885933853	-382.175855997	-423.683467884	-473.655089496	-517.682428297	-549.057678236	-570.099423673	-586.517508412	-601.346881943	-613.765183697	-621.137705677	-620.921948663	-611.633670083	-594.025697335	-572.53701619	-554.927500628	-548.993530818
1, 2, 0	0.0	18.1529547413	65.3806440243	123.886608289	185.448265953	250.96452816	306.433114274	311.309543856	224.231845741	43.6714283737	-182.566623448	-393.128647946	-553.211406926	-661.25606071	-739.216726973	-806.703692938	-861.595242625	-890.030401445	-882.554043795	-839.320263984	-767.258279586	-679.690586319	-598.990129069	-553.941328338	-566.811864453	-638.583417193	-748.857125385	-870.852218752	-985.435417924	-1084.73645616	-1168.99776772	-1238.56034555	-1288.09794866	-1309.40081378	-1297.27813958	-1252.5633128	-1182.83341068	-1102.4862901	-1030.96832485	-987.381100991	-983.237228789
2, 0, 0	0.0	81.5258461273	167.954546114	251.942490857	324.828230888	385.701673279	441.363467087	500.6915347	567.946146057	639.329536166	704.771360708	753.728199613	781.558290863	792.373922256	796.613372847	805.836927684	827.489463493	862.171932346	904.702331823	948.012305446	987.346780966	1022.30991727	1055.94217358	1091.74005065	1130.39137271	1168.69093753	1201.08852899	1222.77926963	1232.58262231	1233.76888086	1232.45317329	1234.77059327	1244.34495423	1261.24208422	1282.80462044	1305.66948076	1327.68715245	1348.67228282	1369.71661676	1391.6992575	1414.03174622
2, 0, 1	0.0	7.48997396957	17.8062317963	24.000181753	34.5764357331	68.3002548071	130.952324376	200.719449588	243.093812946	240.901951543	207.34969911	169.647000584	144.08394884	128.79883559	113.181908267	91.0725498315	65.3128731252	41.5023227895	22.8457975585	12.1542309339	15.1648481103	37.3147428265	76.4704584593	120.024002478	151.941193552	164.499138045	161.840886491	152.883714598	142.736120216	130.81262436	114.44436178	92.8686060083	68.3374836465	44.7051691222	26.1363073885	16.9077032799	20.7198960411	38.3625479884	65.7085027545	94.8714264026	118.24788447
2, 1, 0	0.0	-2.06496930331	-11.0462814513	-23.5104605467	-23.2107296745	-7.43210967349	-11.726866231	-93.5545785866	-282.903062779	-550.013965379	-825.970887264	-1055.69404245	-1224.34231969	-1341.82777329	-1430.60108248	-1505.9282244	-1565.84053925	-1603.17540351	-1613.06168	-1593.17248458	-1546.17356307	-1487.01596841	-1444.7026167	-1451.14187265	-1520.92867517	-1641.27999129	-1783.47152303	-1922.38213222	-2044.92451003	-2147.30755764	-2231.35015726	-2298.28350751	-2344.65234013	-2365.02787582	-2355.91940225	-2318.28124337	-2260.12187408	-2197.75800552	-2152.22581661	-2141.00407883	-2170.31847232
3, 0, 0	0.0	1.89394302103	-21.6579655158	-54.2768516288	-79.6456346614	-120.958896478	-239.408047025	-485.355240584	-847.885176214	-1254.77754412	-1624.65031402	-1919.32902996	-2139.00670144	-2289.37102518	-2389.38735938	-2456.9921148	-2496.7746389	-2509.337675	-2493.39672117	-2449.46574578	-2389.36292289	-2342.93333162	-2349.45853499	-2436.27539285	-2599.54119329	-2807.86565321	-3024.92355245	-3226.32176792	-3397.65731062	-3530.13745129	-3623.79191068	-3682.19596443	-3705.86112388	-3694.21826429	-3649.21837711	-3578.88947222	-3500.5635245	-3439.31830445	-3419.60867412	-3454.74718729	-3541.76653516
